Method,Vanilla,Scr,Rlx,ScrRlx
ADMM,13261.503312683100,2203.1707868099200,9621.140795946120,1603.6553036928200
CD,768.1933395385740,73.73728160858150,35.73609900474550,7.702702617645260
PG,115.858129549026,30.9625471830369,13.9022356033326,7.88662743568418
