iters,linear,sublinear
0,0.5,0.5
1,0.23025651855542037,0.27698174069926423
2,0.17390792444277597,0.2422749681237934
3,0.13034227019202962,0.17934849050493
4,0.09270379990065991,0.16998991199438607
5,0.07743831381074079,0.1964083664123401
6,0.06077637975262026,0.16598476808471718
7,0.05426832060609647,0.1336582558238632
8,0.046738697399423094,0.1330094424381716
9,0.04114351391023802,0.12194416077414565
10,0.03452314952633052,0.1281613153952384
11,0.030498191884093143,0.10330896823523712
12,0.027876875742910204,0.11629207905898352
13,0.02442221953956018,0.10842553868831488
14,0.021666727494705027,0.10994973525352827
15,0.019436937889954764,0.1040283773448002
16,0.017491404281373562,0.09178123379445857
17,0.01607244942309248,0.08805611979562034
18,0.014143179718402881,0.08766081503781312
19,0.01288798203449107,0.0825001039035783
20,0.011813013640754643,0.08891722507192054
21,0.010743867202333035,0.08289907153211419
22,0.009899521697848732,0.07954520753241853
23,0.008941515272978273,0.07921095496173129
24,0.008190454453247268,0.0792742886027168
25,0.007571389107220181,0.074242321904963
26,0.006952932026118981,0.07428528388356244
27,0.006399267780678513,0.07482515499635858
28,0.0059047440569295105,0.07330527738607363
29,0.005465727519493115,0.07361850469540619
30,0.004994365701377987,0.06850334628822882
31,0.00463884917848848,0.07255140520444171
32,0.0042973803303609686,0.06707307831589085
33,0.003966826297333682,0.06588428665053836
34,0.0036819619991398677,0.0646783844945618
35,0.003414420496088234,0.06459005887420344
36,0.0031749032741357846,0.06671026636220989
37,0.0029558304599106525,0.06259180661960835
38,0.0027327856198721837,0.06330877622562067
39,0.002549353217749653,0.06598157494687139
40,0.0023765977173013358,0.06387348316102215
41,0.0022196397207666575,0.06073993873170273
42,0.002069410679691373,0.061848517926737887
43,0.0019293294874387812,0.061928153407361554
44,0.0018017502587166596,0.059895925337586545
45,0.0016849007239458198,0.05728327817462952
46,0.0015755115266619629,0.05963598291584857
47,0.001474584287590405,0.05593111351291752
48,0.0013801932755383186,0.05912429340640614
49,0.0012930369913911953,0.05637733394829405
50,0.0012126550141965875,0.0559364151424694
51,0.0011368331899907001,0.05613836974902522
52,0.001066242267639631,0.0537587125014674
53,0.001001546995328803,0.05199919387137997
54,0.000940938233870867,0.05264911776648183
55,0.0008839873708916546,0.05271444914747368
56,0.0008308289159844344,0.05548543424687631
57,0.0007817149489977386,0.050269400493964174
58,0.0007359805017105751,0.0506693988668633
59,0.0006931066381286799,0.05232030442060257
60,0.0006522991153652035,0.051204046294538764
61,0.0006148613283929335,0.05131598747457923
62,0.0005796348279951083,0.04988038633210789
63,0.0005466018392082218,0.04886255351617589
64,0.0005157497738064839,0.05250544688387032
65,0.00048658447036828894,0.047983976416297126
66,0.0004596463870619337,0.04936396150833172
67,0.0004340465391182934,0.04953288305044968
68,0.0004103436070619708,0.048184462181311505
69,0.0003877114773097916,0.04824529454641418
70,0.00036678523168760655,0.04918794087820069
71,0.00034680292944832067,0.047438561704029235
72,0.0003281520508249472,0.045961812459744435
73,0.0003107506199318846,0.04839280472057601
74,0.00029409594212104315,0.04588779893641278
75,0.00027865214181047233,0.046475674281906146
76,0.00026398796351309025,0.046646540999451834
77,0.0002501247437890034,0.04597250672160013
78,0.00023710113092422925,0.04502560143614759
79,0.00022482523862220167,0.04598663752738571
80,0.00021326518906136785,0.045302426595523304
81,0.00020234218587590781,0.04659741312919381
82,0.00019202996674300265,0.04528565952761587
83,0.00018231136480440703,0.04421871843918757
84,0.0001730841822221573,0.043883450214883823
85,0.00016438710551038428,0.04468817894277028
86,0.00015616692047160595,0.04321556058001244
87,0.00014839612762817983,0.04447193254099785
88,0.00014102340764653515,0.04342341986665849
89,0.0001340662291857947,0.042876169060959216
90,0.00012747513910206526,0.04303461286621179
91,0.00012121137245779821,0.04376132688394195
92,0.00011531798278064873,0.04349681748056412
93,0.00010970780441725493,0.042739789880126625
94,0.00010440455873461269,0.041852429009756206
95,9.937464968577183e-05,0.04080539657878718
96,9.460317680312112e-05,0.04076868240770158
97,9.008770558299338e-05,0.04189624752962475
98,8.578632022777809e-05,0.04013163961938852
99,8.171960733128159e-05,0.04044008074859267
100,7.785107621664497e-05,0.03967559771935662
