grid_time,grid_iter,ProximalGradient_iter_sopt,ProximalGradientScr_iter_sopt,ProximalGradientRlx_iter_sopt,ProximalGradientScrRlx_iter_sopt
0.01,0,0.013851481427308188,0.013851481427308378,0.013851481427309324,0.013873262952859091
0.010722672220103232,2,0.005518261776596935,0.005518261776597125,0.0055191080409085335,0.0055222305366482574
0.011497569953977356,4,0.00269338629835017,0.0035685921872582876,0.003239503381854246,9.142065046329857e-06
0.012328467394420659,6,0.0012709909450848544,0.004162307726010179,0.002166132689194655,6.037850543631019e-08
0.013219411484660288,8,0.0006156460634042848,0.0008155322961399705,0.00107152192989534,6.286741863344173e-11
0.014174741629268055,10,0.00026348738112362297,0.00015666386657508483,0.00029144665841499993,2.5933898687357286e-13
0.01519911082952934,12,0.00012146588875692643,4.607924408665809e-05,6.360708653960281e-05,2.220446049250313e-18
0.016297508346206444,14,5.093531016530456e-05,2.1143170307397485e-05,2.039963774890033e-05,
0.01747528400007684,16,2.762497809666406e-05,8.755867777954507e-06,3.287685502353782e-06,
0.01873817422860384,18,1.4255964402152265e-05,3.353107683086026e-06,2.923659934188361e-07,
0.02009233002565047,20,7.409088476406367e-06,1.37678116678544e-06,2.2754896451815388e-09,
0.021544346900318846,22,3.79013001456277e-06,6.419644870442331e-07,2.220446049250313e-18,
0.023101297000831605,24,1.8991251742864202e-06,2.884758126633913e-07,,
0.024770763559917114,26,1.129660493894985e-06,1.9655904418741656e-07,,
0.026560877829466867,28,1.0483070396903604e-06,1.0091027323702595e-07,,
0.02848035868435802,30,9.705138798032919e-07,5.273405002323428e-08,,
0.030538555088334154,32,8.690729793520147e-07,3.774209944018558e-08,,
0.03274549162877728,34,5.949888131825953e-07,4.150221387194675e-08,,
0.03511191734215131,36,4.419202386672649e-07,1.025323637743325e-08,,
0.037649358067924674,38,2.4662867108712907e-07,7.427153408956499e-09,,
0.040370172585965536,40,1.9446940755216136e-07,4.795382415323512e-09,,
0.04328761281083057,42,1.5110714071370214e-07,3.20327744371407e-09,,
0.046415888336127795,44,1.4989129371076327e-07,9.097179517331133e-09,,
0.049770235643321115,46,1.3023564999242732e-07,3.0043914411859164e-09,,
0.0533669923120631,48,8.7245970228772e-08,7.541708826885873e-10,,
0.05722367659350217,50,7.008152473231278e-08,5.408120562488961e-10,,
0.06135907273413173,52,4.5892813199110985e-08,3.763202439943658e-10,,
0.06579332246575682,54,3.9803627508855355e-08,2.417423859701895e-10,,
0.07054802310718646,56,3.526957414318188e-08,1.910820351946896e-10,,
0.07564633275546291,58,2.7292987130056457e-08,1.2431640272758672e-10,,
0.08111308307896872,60,2.1826021494031344e-08,5.957930357403107e-11,,
0.08697490026177834,62,1.8883968437855003e-08,3.648750496187958e-11,,
0.093260334688322,64,1.2842993376976919e-08,4.388167634816753e-11,,
0.1,66,1.0603029548666986e-08,4.164108488580176e-11,,
0.10722672220103231,68,9.273551301869354e-09,2.2353341122549608e-11,,
0.11497569953977356,70,9.229239512631438e-09,7.138779706261644e-12,,
0.12328467394420659,72,6.654263164512786e-09,6.4279612188578026e-12,,
0.13219411484660293,74,5.17854605294743e-09,1.0511786441291804e-11,,
0.14174741629268056,76,3.975486803642347e-09,9.407626344604126e-12,,
0.1519911082952934,78,3.2173312834726796e-09,4.440784823200872e-12,,
0.16297508346206444,80,3.0913966880818933e-09,1.3410224319887477e-12,,
0.17475284000076838,82,2.5463774994127775e-09,1.5412132681191792e-12,,
0.1873817422860384,84,2.232386686479293e-09,2.4656879316076187e-12,,
0.20092330025650468,86,1.838974590662179e-09,2.1661177018739154e-12,,
0.21544346900318845,88,1.4405258126626296e-09,1.0861732346878483e-12,,
0.23101297000831603,90,1.1264635316199367e-09,4.0807607293302794e-13,,
0.24770763559917114,92,9.303179880626455e-10,4.078413995411978e-13,,
0.26560877829466867,94,9.633049076473998e-10,5.746485232105414e-13,,
0.2848035868435802,96,7.442422071679555e-10,5.146291726099151e-13,,
0.30538555088334157,98,6.573858886416151e-10,2.972563861725064e-13,,
0.32745491628777285,101,4.998771525877022e-10,1.22859361573191e-13,,
0.3511191734215131,103,4.017034534176123e-10,1.3269427223683293e-13,,
0.37649358067924676,105,3.269314821641167e-10,1.3634343654089775e-13,,
0.4037017258596556,107,2.7715436431985377e-10,1.0359560431716375e-13,,
0.43287612810830595,109,2.442412733172361e-10,6.516856498883783e-14,,
0.464158883361278,111,2.1798025232055983e-10,4.550262944214012e-14,,
0.49770235643321115,113,1.9181445889970839e-10,3.936254100445069e-14,,
0.533669923120631,115,1.6427921731287932e-10,3.373620827140655e-14,,
0.5722367659350217,117,1.372862311332934e-10,2.6001423236721165e-14,,
0.6135907273413173,119,1.1356662388273264e-10,1.9885343371939258e-14,,
0.6579332246575682,121,9.486845753414741e-11,1.6239232181192166e-14,,
0.7054802310718645,123,8.132477732902821e-11,1.2959078254937139e-14,,
0.7564633275546291,125,7.17080318735075e-11,9.319905958093955e-15,,
0.8111308307896873,127,6.414959979883506e-11,6.646072581162343e-15,,
0.8697490026177834,129,5.697713606478416e-11,5.6754601018838e-15,,
0.9326033468832199,131,4.9362547938081035e-11,5.366679323159928e-15,,
1.0,133,4.1515087617627345e-11,4.441169654256782e-15,,
1.072267222010323,135,3.433112294448648e-11,2.9520830224782912e-15,,
1.1497569953977356,137,2.8706418214730077e-11,1.8252066524837575e-15,,
1.232846739442066,139,2.4930721098659348e-11,1.5082379789532753e-15,,
1.3219411484660286,141,2.2529559051687188e-11,1.5604184611106575e-15,,
1.4174741629268048,143,2.061008100295858e-11,1.4276080317898732e-15,,
1.5199110829529332,145,1.8430951764791815e-11,1.0036416142611414e-15,,
1.629750834620645,147,1.579749137059494e-11,5.774547506831595e-16,,
1.7475284000076847,149,1.3050494296340531e-11,4.0217829067046296e-16,,
1.873817422860385,151,1.0721534493551843e-11,4.1494585545365224e-16,,
2.0092330025650478,153,9.136287143496347e-12,4.288236432614667e-16,,
