Method,Vanilla,Scr,Rlx,ScrRlx
ADMM,46367.3970860129,4909.19630305769,22158.823367691,1974.71242179871
CD,23824.261970782300,1509.2517202615700,727.7376216650010,84.35434560775760
PG,10700.7187960625,2423.84936632527,378.130971840011,101.074171432627
