Method,Vanilla,Scr,Rlx,ScrRlx
ADMM,32477.9952388657,4752.04975512028,15847.0650193214,1850.61175971032
CD,23770.178058195100,1991.002078175550,442.433927989006,61.360411214828500
PG,9084.5641894579,3520.42829462695,1178.83891224593,170.306157510819
