Method,Vanilla,Scr,Rlx,ScrRlx
ADMM,22386.824843883500,3651.829654026030,17060.046283364300,3068.251819586750
CD,971.1604346990590,105.82611665725700,82.65175933837890,12.801815676689100
PG,185.029938411475,68.9273603200911,20.3064135313035,11.1533081293106
